,CUI1,CUI2
9352,Internal oblique division of ascending part of left deep circumflex iliac artery,Ascending part of deep circumflex iliac artery
9353,Medullary branch of right second posterior intercostal artery,Posterior radicular branch of right second posterior intercostal artery
9354,Teres major branch of posterior circumflex humeral artery,Structure of posterior circumflex humeral artery
9355,Right glenohumeral joint branch of right anterior circumflex humeral artery,Right anterior circumflex humeral artery
9356,Left superior thoracic artery,Structure of left axillary artery
9357,Branch of suprascapular nerve to acromioclavicular joint joint,Structure of suprascapular nerve
9358,Medial proper plantar digital nerve of left third toe,Left tibial nerve
9359,Lateral cutaneous branch of left eighth intercostal nerve,Left eighth intercostal nerve
9360,Nerve to left eighth innermost intercostal muscle,Left eighth intercostal nerve
9361,Left sixth anterior intercostal artery,Left internal thoracic artery
9362,Nerve to second dorsal interosseous of left hand,Deep branch of left ulnar nerve
9363,Nerve to second palmar interosseous of left hand,Deep branch of left ulnar nerve
9364,Nerve to left adductor hallucis,Deep branch of left lateral plantar nerve
9365,Anterior branch of lateral cutaneous branch of right sixth posterior intercostal artery,Lateral cutaneous branch of right sixth posterior intercostal artery
9366,Nerve to left mentalis,Marginal mandibular branch of left facial nerve
9367,Nerve to right transversus menti,Marginal mandibular branch of right facial nerve
9368,Communicating branch of superficial buccal branch of left facial nerve with left infratrochlear nerve,Buccal branch of left facial nerve
9369,Nerve to levator anguli oris,Buccal branch of facial nerve
9370,Nerve to right auricularis superior,Temporal branch of right facial nerve
9371,Nerve to right antitragicus,Temporal branch of right facial nerve
9372,Nerve to right auricularis posterior,Auricular branch of right posterior auricular nerve
9373,Left coronary artery structure,Ascending aorta structure
9374,Gingival branch of left mental nerve,Left mental nerve
9375,Posterior radicular branch of right tenth posterior intercostal artery,Spinal branch of dorsal branch of right tenth posterior intercostal artery
9376,Branch of external acoustic meatus nerve to tympanic membrane,External acoustic meatus nerve
9377,Nerve to left eighth levator costae,Lateral branch of posterior ramus of left eighth thoracic nerve
9378,Structure of atrioventricular node branch of right coronary artery,First septal branch of right posterior interventricular artery
9379,T12 branch to right spinalis thoracis,Medial branch of posterior ramus of right twelfth thoracic nerve
9380,Lateral cutaneous branch of medial branch of posterior ramus of left eighth thoracic nerve,Medial branch of posterior ramus of left eighth thoracic nerve
9381,Masseteric nerve proper,Structure of masseteric nerve
9382,Lateral Pterygoid Nerve,Structure of buccal nerve
9383,Spinal branch of first lumbar artery,First lumbar artery
9384,Muscular branch of lateral branch of dorsal branch of left fifth posterior intercostal artery,Lateral branch of dorsal branch of left fifth posterior intercostal artery
9385,Prelaminar branch of left sixth posterior intercostal artery,Spinal branch of dorsal branch of left sixth posterior intercostal artery
9386,Lateral branch of dorsal branch of left eighth posterior intercostal artery,Dorsal branch of left eighth posterior intercostal artery
9387,Lateral cutaneous branch of medial branch of posterior ramus of right seventh thoracic nerve,Medial branch of posterior ramus of right seventh thoracic nerve
9388,Medial cutaneous branch of medial branch of posterior ramus of seventh thoracic nerve,Medial branch of posterior ramus of seventh thoracic nerve
9389,T6 branch to right spinalis capitis,Medial branch of posterior ramus of right sixth thoracic nerve
9390,Nerve to left second levator costae,Lateral branch of posterior ramus of left second thoracic nerve
9391,T2 branch to right iliocostalis thoracis,Lateral branch of posterior ramus of right second thoracic nerve
9392,T1 branch to spinalis capitis,Medial branch of posterior ramus of first thoracic nerve
9393,Ascending branch of meningeal branch of twelfth thoracic nerve,Meningeal branch of twelfth thoracic nerve
9394,Nerve to right third innermost intercostal muscle,Right third intercostal nerve
9395,T3 branch to left multifidus,Medial branch of posterior ramus of left third thoracic nerve
9396,T3 branch to right splenius capitis,Lateral branch of posterior ramus of right third thoracic nerve
9397,Left inferior gluteal artery,Anterior division of left internal iliac artery
9398,C3 branch to right levator scapulae,Anterior ramus of right third cervical nerve
9399,C2 branch to left sternocleidomastoid,Anterior ramus of left second cervical nerve
9400,Descending branch of meningeal branch of right fourth thoracic nerve,Meningeal branch of right fourth thoracic nerve
9401,Nerve to left ninth external intercostal muscle,Left ninth intercostal nerve
9402,White communicating ramus of right eighth intercostal nerve,Right eighth intercostal nerve
9403,Anterior cutaneous branch of second intercostal nerve,Second intercostal nerve
9404,Articular branch of eleventh intercostal nerve,Eleventh intercostal nerve
9405,Basal branch of right lateral basal segmental artery,Structure of lateral basal branch of right pulmonary artery
9406,C8 branch to scalenus medius,Anterior ramus of eighth cervical nerve
9407,C6 branch to scalenus posterior,Anterior ramus of sixth cervical nerve
9408,C6 branch to left longus colli,Anterior ramus of left sixth cervical nerve
9409,Lateral branch of posterior ramus of left sixth cervical nerve,Posterior ramus of left sixth cervical nerve
9410,Medial branch of anterior cutaneous branch of left tenth intercostal nerve,Anterior cutaneous branch of left tenth intercostal nerve
9411,Right posterior interosseous artery,Right common interosseous artery
9412,Nerve to ceratocricoid,Recurrent Laryngeal Nerve
9413,Left deep femoral artery,Structure of left femoral artery
9414,Bronchial branch of left vagus nerve,Left vagus nerve
9415,Lateral cutaneous branch of ventral branch of right first lumbar artery,Ventral branch of right first lumbar artery
9416,Cutaneous branch of lateral branch of dorsal branch of right second lumbar artery,Lateral branch of dorsal branch of right second lumbar artery
