,CUI1,CUI2
9532,Pre-optic artery,Structure of anterior cerebral artery
9533,Penile bulb division of transverse part of right perineal artery,Transverse part of right perineal artery
9534,Nerve to gluteus maximus (2),Structure of inferior gluteal nerve
9535,Structure of uterine artery,Anterior division of internal iliac artery
9536,Left third dorsal metatarsal artery,Left arcuate artery
9537,Right second dorsal metatarsal artery,Right arcuate artery
9538,Descending branch of second perforating branch of deep femoral artery,Second perforating femoral artery
9539,Structure of right vertebral artery,First part of right subclavian artery proper
9540,Right subscapular artery,Structure of right subclavian artery
9541,Structure of subscapular artery,Structure of subclavian artery
9542,Ventricular branch of circumflex coronary artery,Structure of circumflex branch of left coronary artery
9543,Second right anterior branch of anterior interventricular branch of left coronary artery,Anterior descending branch of left coronary artery
9544,Diagonal branch of anterior descending branch of left coronary artery,Anterior descending branch of left coronary artery
9545,First septal branch of right posterior interventricular artery,Posterior interventricular branch of right coronary artery
9546,Structure of posterior branch of superior thyroid artery,Structure of superior thyroid artery
9547,Ascending branch of meningeal branch of thoracic nerve,Meningeal branch of thoracic nerve
9548,Gray communicating ramus of left first intercostal nerve,Left first intercostal nerve
9549,Anterior branch of lateral cutaneous branch of right ninth intercostal nerve,Lateral cutaneous branch of right ninth intercostal nerve
9550,Muscular branch of lateral branch of dorsal branch of seventh posterior intercostal artery,Lateral branch of dorsal branch of seventh posterior intercostal artery
9551,Conjunctival branch of supratrochlear nerve,Structure of supratrochlear nerve
9552,Lacrimal branch of right infratrochlear nerve,Right infratrochlear nerve
9553,Precentral branch of eighth posterior intercostal artery,Eighth posterior intercostal artery
9554,Communicating branch of ninth intercostal nerve,Ninth intercostal nerve
9555,Branch of greater palatine nerve to gingiva,Greater palatine nerve
9556,Communicating branch of right greater palatine nerve with right nasopalatine nerve,Right greater palatine nerve
9557,Communicating branch of right ilioinguinal nerve with right iliohypogastric nerve,Structure of right ilioinguinal nerve
9558,Structure of anterior lateral malleolar artery,Structure of anterior tibial artery
9559,Structure of transverse scapular artery,Thyrocervical artery
9560,Structure of profunda femoris artery,Structure of femoral artery
9561,Cutaneous branch of acromial branch of left suprascapular artery,Acromial branch of left suprascapular artery
9562,Transverse branch of meningeal branch of left fifth sacral nerve,Meningeal branch of left fifth sacral nerve
9563,Ascending branch of meningeal branch of right fifth lumbar nerve,Meningeal branch of right fifth lumbar nerve
9564,Medial proper plantar digital nerve of left little toe,Left tibial nerve
9565,Lateral proper plantar digital nerve of left third toe,Left tibial nerve
9566,Pleural branch of left fourth intercostal nerve,Left fourth intercostal nerve
9567,Structure of basilar artery,Structure of left vertebral artery
9568,Descending branch of meningeal branch of eleventh thoracic nerve,Meningeal branch of eleventh thoracic nerve
9569,Nerve to fourth palmar interosseous of left hand,Deep branch of left ulnar nerve
9570,Medial branch of dorsal branch of left second posterior intercostal artery,Dorsal branch of left second posterior intercostal artery
9571,Upper branch of left internal laryngeal nerve to epiglottis,Left internal laryngeal nerve
9572,Nerve to fourth lumbrical of left foot,Deep branch of left lateral plantar nerve
9573,Muscular branch of collateral branch of right third posterior intercostal artery,Collateral branch of right third posterior intercostal artery
9574,Structure of apical lower lobe branch of right pulmonary artery,Right lower lobar artery
9575,Nerve to depressor anguli oris,Structure of facial nerve marginal mandibular branch
9576,Nerve to right procerus,Buccal branch of right facial nerve
9577,Nerve to left antitragicus,Temporal branch of left facial nerve
9578,Nerve to right tragicus,Temporal branch of right facial nerve
9579,Nerve to helicis major,Facial nerve temporal branch
9580,Nerve to frontalis,Facial nerve temporal branch
9581,Anterior branch of lateral cutaneous branch of right ninth posterior intercostal artery,Lateral cutaneous branch of right ninth posterior intercostal artery
9582,Posterior radicular branch of right eleventh posterior intercostal artery,Spinal branch of dorsal branch of right eleventh posterior intercostal artery
9583,Lateral branch of posterior ramus of right twelfth thoracic nerve to right longissimus thoracis,Lateral branch of posterior ramus of right twelfth thoracic nerve
9584,Lateral branch of posterior ramus of left eleventh thoracic nerve to left longissimus thoracis,Lateral branch of posterior ramus of left eleventh thoracic nerve
9585,T11 branch to left iliocostalis lumborum,Lateral branch of posterior ramus of left eleventh thoracic nerve
9586,Lateral cutaneous branch of medial branch of posterior ramus of right twelfth thoracic nerve,Medial branch of posterior ramus of right twelfth thoracic nerve
9587,T10 branch to left multifidus,Medial branch of posterior ramus of left tenth thoracic nerve
9588,Medial branch of posterior ramus of left eighth thoracic nerve to left longissimus thoracis,Medial branch of posterior ramus of left eighth thoracic nerve
9589,Artery of right pterygoid canal,Structure of right internal carotid artery
9590,Petrous part of right internal carotid artery,Structure of right internal carotid artery
9591,Right external acoustic meatus nerve,Right auriculotemporal nerve
9592,Medial branch of dorsal branch of left ninth posterior intercostal artery,Dorsal branch of left ninth posterior intercostal artery
9593,Articular branch of dorsal branch of left tenth posterior intercostal artery,Medial branch of dorsal branch of left tenth posterior intercostal artery
9594,T1 branch to right semispinalis capitis,Medial branch of posterior ramus of right first thoracic nerve
9595,Anterior branch of lateral cutaneous branch of right seventh intercostal nerve,Lateral cutaneous branch of right seventh intercostal nerve
9596,Set of short ciliary nerves,Structure of ciliary ganglion
9597,Lateral C2 branch to left semispinalis capitis,Left greater occipital nerve
9598,C2 root of right transverse cervical nerve,Anterior ramus of right second cervical nerve
9599,Collateral branch of right sixth intercostal nerve,Right sixth intercostal nerve
9600,Nerve to left fifth innermost intercostal muscle,Left fifth intercostal nerve
9601,Collateral branch of right fourth intercostal nerve,Right fourth intercostal nerve
9602,Collateral branch of second intercostal nerve,Second intercostal nerve
9603,Branch of third intercostal nerve to transversus thoracis,Third intercostal nerve
9604,Lateral cutaneous branch of sixth intercostal nerve,Sixth intercostal nerve
9605,Medial branch of right medial basal segmental artery,Structure of medial basal branch of right pulmonary artery
9606,Transverse branch of meningeal branch of first lumbar nerve,Meningeal branch of first lumbar nerve
9607,Branch of greater anterior gastric nerve to coeliac plexus,Greater anterior gastric nerve
9608,Lateral branch of posterior ramus of left fourth lumbar nerve,Posterior ramus of left fourth lumbar nerve
9609,Upper branch of internal laryngeal nerve to epiglottis,Internal laryngeal nerve
9610,Lower branch of internal laryngeal nerve to mucosa of arytenoid cartilage,Internal laryngeal nerve
9611,Meningeal branch of left vagus nerve,Left vagus nerve
9612,Muscular branch of lateral branch of dorsal branch of right fourth lumbar artery,Lateral branch of dorsal branch of right fourth lumbar artery
9613,Right lingual nerve,Right mandibular nerve
9614,Left superior thyroid artery,Structure of left external carotid artery
9615,Left posterior communicating artery,Structure of left internal carotid artery
9616,Prelaminar branch of right third posterior intercostal artery,Spinal branch of dorsal branch of right third posterior intercostal artery
9617,Pleural branch of right fourth posterior intercostal artery,Right fourth posterior intercostal artery
9618,Branch of right posterior ethmoidal nerve to right sphenoidal sinus,Right posterior ethmoidal nerve
9619,Collateral branch of right seventh posterior intercostal artery,Right seventh posterior intercostal artery
9620,Nerve to right medial rectus,Inferior branch of right oculomotor nerve
9621,Anterior branch of lateral cutaneous branch of left eighth posterior intercostal artery,Lateral cutaneous branch of left eighth posterior intercostal artery
9622,Anterior radicular branch of left eleventh posterior intercostal artery,Spinal branch of dorsal branch of left eleventh posterior intercostal artery
9623,Transverse branch of meningeal branch of third thoracic nerve,Meningeal branch of third thoracic nerve
9624,Tracheal branch of right inferior thyroid artery,Right inferior thyroid artery
9625,Right inferior laryngeal artery,Right inferior thyroid artery
9626,Structure of ascending cervical artery,Structure of inferior thyroid artery
9627,Pericardial branch of musculophrenic artery,Structure of musculophrenic artery
9628,Medial proper palmar digital branch of right median nerve to right middle finger,Fourth common palmar digital branch of right median nerve
9629,Superficial nerve to soleus,Structure of tibial nerve
9630,Proper plantar digital nerve of big toe,Structure of tibial nerve
9631,Lateral proper plantar digital nerve of little toe,Structure of tibial nerve
9632,White communicating ramus of right first lumbar nerve,Anterior ramus of right first lumbar nerve
9633,Branch of vagus nerve to carotid body,Vagus nerve structure
